id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,created_at,updated_at,knmi_guid,region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,1986-12-26 07:47:00,Assen,52.992,6.548,1.0,2.8,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
4,1991-02-15 02:11:00,Emmen,52.771,6.914,3.0,2.2,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
6,1991-08-08 04:01:00,Assen,52.965,6.573,3.0,2.7,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
9,1992-05-24 18:00:00,Assen,52.956,6.562,3.0,1.6,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
11,1992-07-22 23:23:00,Assen,52.961,6.57,3.0,2.6,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
12,1992-12-06 20:34:00,Loppersum,53.32,6.74,3.0,1.3,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
24,1993-08-23 00:51:00,Appingedam,53.332,6.848,3.0,0.7,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
27,1993-09-25 00:21:00,Slochteren,53.208,6.812,3.0,0.9,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
28,1993-11-23 12:31:00,Slochteren,53.202,6.82,3.0,2.2,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
34,1994-03-06 20:02:00,Appingedam,53.323,6.805,3.0,1.0,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
45,1994-06-26 17:44:00,Appingedam,53.335,6.852,3.0,1.0,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
52,1994-08-16 14:37:00,Anloo,53.061,6.698,3.0,2.3,,,,,Anloo,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1994-09-23 19:50:00,Schoonebeek,52.67,6.88,3.0,1.3,,,,,Schoonebeek,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1995-01-24 09:38:00,Delfzijl,53.316,6.897,3.0,1.3,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
64,1995-04-26 17:35:00,Zuidlaren,53.084,6.668,3.0,0.7,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
68,1995-07-15 16:05:00,Slochteren,53.206,6.823,3.0,1.0,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
70,1995-09-13 21:34:00,Loppersum,53.335,6.728,3.0,1.1,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
71,1995-10-18 00:34:00,Peize,53.129,6.492,3.0,1.3,,,,,Peize,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1996-02-24 03:31:00,Emmen,52.761,6.908,3.0,1.8,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
86,1996-03-16 04:16:00,Appingedam,53.298,6.848,3.0,1.4,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
91,1996-04-15 03:41:00,Ten Boer,53.289,6.688,3.0,0.9,1.0,,,,Ten Boer,66.0,67.0,67.0,68.0,97.0,98.0,98.0,98.0,158.0,158.0,174.0,185.0,194.0,195.0,192.0,187.0,183.0,174.0,165.0,165.0,169.0,175.0,,,,,,
101,1996-08-06 13:38:00,Emmen,52.755,6.917,3.0,1.6,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
106,1996-09-02 05:20:00,Roden,53.147,6.422,3.0,2.1,,,,,Roden,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1997-01-24 04:00:00,Zuidlaren,53.079,6.678,3.0,0.6,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
129,1997-04-01 00:34:00,Emmen,52.768,6.873,3.0,1.4,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
148,1997-09-13 21:30:00,Loppersum,53.338,6.747,3.0,1.1,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
154,1997-11-20 17:35:00,Slochteren,53.206,6.792,3.0,1.2,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
158,1997-12-07 07:02:00,Zuidlaren,53.075,6.702,3.0,0.3,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
161,1998-01-22 10:31:00,Assen,52.984,6.547,3.5,1.1,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
167,1998-03-29 06:06:00,Loppersum,53.345,6.73,3.0,1.3,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
168,1998-04-19 08:00:00,Loppersum,53.339,6.723,3.0,1.5,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
170,1998-04-28 02:02:00,Veendam,53.107,6.865,3.0,0.4,,,,,Veendam,61.0,62.0,62.0,63.0,87.0,88.0,89.0,90.0,134.0,135.0,144.0,154.0,158.0,158.0,157.0,155.0,149.0,142.0,141.0,141.0,139.0,140.0,146.0,154.0,164.0,180.0,213.0,226.0
177,1998-09-05 20:36:00,Emmen,52.742,6.875,3.0,1.9,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
190,1999-04-21 10:59:00,Appingedam,53.312,6.84,3.0,1.4,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
197,1999-06-07 20:20:00,Steenbergen,53.097,6.402,3.0,1.1,,,,,Steenbergen,85.0,85.0,86.0,87.0,135.0,135.0,135.0,135.0,201.0,202.0,216.0,222.0,226.0,226.0,221.0,213.0,207.0,204.0,200.0,198.0,201.0,207.0,223.0,238.0,254.0,286.0,326.0,345.0
203,1999-10-18 18:56:00,Zuidlaren,53.078,6.718,3.0,0.4,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
216,2000-02-12 19:48:00,Appingedam,53.321,6.822,3.5,1.7,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
219,2000-04-01 03:13:00,Dalen,52.685,6.75,3.0,1.3,,,,,Dalen,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2000-06-12 15:48:00,Loppersum,53.34,6.742,3.0,2.5,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
229,2000-07-10 15:05:00,Vries,53.064,6.575,3.0,1.0,,,,,Vries,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2000-07-13 08:41:00,Vries,53.079,6.565,3.0,1.1,,,,,Vries,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,2001-05-17 07:48:00,Haren,53.173,6.612,3.0,1.4,,,,,Haren,112.0,111.0,112.0,113.0,158.0,157.0,159.0,160.0,245.0,245.0,273.0,306.0,310.0,306.0,295.0,286.0,274.0,260.0,254.0,256.0,272.0,291.0,,,,,,
249,2001-08-07 17:09:00,Veendam,53.097,6.845,3.0,0.3,,,,,Veendam,61.0,62.0,62.0,63.0,87.0,88.0,89.0,90.0,134.0,135.0,144.0,154.0,158.0,158.0,157.0,155.0,149.0,142.0,141.0,141.0,139.0,140.0,146.0,154.0,164.0,180.0,213.0,226.0
252,2001-10-10 06:41:00,Schoorl,52.682,4.648,2.9,2.7,,,,,Schoorl,138.0,138.0,139.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,
253,2001-10-10 14:06:00,Slochteren,53.239,6.763,3.0,1.0,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
254,2001-10-10 14:06:00,Slochteren,53.24,6.763,3.0,0.8,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
259,2001-12-11 15:17:00,Slochteren,53.217,6.788,3.0,0.7,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
271,2002-06-28 03:06:00,Smilde,52.968,6.45,3.0,1.8,,,,,Smilde,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2002-12-16 12:23:00,Zuidlaren,53.092,6.718,3.0,1.4,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
288,2003-01-01 19:16:00,Loppersum,53.337,6.743,3.0,1.0,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
293,2003-01-31 15:20:00,Slochteren,53.232,6.782,3.0,0.3,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
299,2003-02-28 21:54:00,Loppersum,53.355,6.73,3.0,0.7,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
312,2003-04-18 23:59:00,Slochteren,53.238,6.753,3.0,0.0,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
326,2003-08-05 18:45:00,Assen,52.975,6.558,3.0,1.1,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
344,2003-12-29 13:09:00,Delfzijl,53.343,6.938,3.0,1.5,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
347,2004-01-30 11:47:00,Appingedam,53.314,6.868,3.0,1.2,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
348,2004-03-07 07:18:00,Veendam,53.103,6.845,3.0,0.2,,,,,Veendam,61.0,62.0,62.0,63.0,87.0,88.0,89.0,90.0,134.0,135.0,144.0,154.0,158.0,158.0,157.0,155.0,149.0,142.0,141.0,141.0,139.0,140.0,146.0,154.0,164.0,180.0,213.0,226.0
350,2004-03-16 23:49:00,Veendam,53.09,6.88,3.0,1.0,,,,,Veendam,61.0,62.0,62.0,63.0,87.0,88.0,89.0,90.0,134.0,135.0,144.0,154.0,158.0,158.0,157.0,155.0,149.0,142.0,141.0,141.0,139.0,140.0,146.0,154.0,164.0,180.0,213.0,226.0
356,2004-05-29 21:06:00,Winsum,53.308,6.508,3.0,0.8,,,,,Winsum,58.0,59.0,59.0,59.0,95.0,95.0,96.0,97.0,147.0,147.0,165.0,178.0,183.0,184.0,180.0,180.0,174.0,167.0,164.0,164.0,164.0,170.0,,,,,,
357,2004-05-31 00:59:00,Winsum,53.313,6.518,3.0,0.3,,,,,Winsum,58.0,59.0,59.0,59.0,95.0,95.0,96.0,97.0,147.0,147.0,165.0,178.0,183.0,184.0,180.0,180.0,174.0,167.0,164.0,164.0,164.0,170.0,,,,,,
360,2004-07-27 22:49:00,Appingedam,53.343,6.875,3.0,1.2,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
374,2004-11-26 06:58:00,Loppersum,53.314,6.737,3.0,1.6,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
377,2005-01-17 00:00:00,Appingedam,53.317,6.808,3.0,1.1,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
378,2005-01-30 02:31:00,Ten Boer,53.277,6.692,3.0,1.0,1.0,,,,Ten Boer,66.0,67.0,67.0,68.0,97.0,98.0,98.0,98.0,158.0,158.0,174.0,185.0,194.0,195.0,192.0,187.0,183.0,174.0,165.0,165.0,169.0,175.0,,,,,,
382,2005-02-18 11:26:00,Zuidlaren,53.081,6.673,3.0,0.6,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
383,2005-02-18 12:55:00,Loppersum,53.34,6.735,3.0,1.3,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
388,2005-03-01 16:31:00,Delfzijl,53.326,6.922,3.0,1.2,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
392,2005-03-21 23:21:00,Buren,53.457,5.85,3.0,1.8,,,,,Buren,94.0,94.0,104.0,103.0,179.0,177.0,178.0,178.0,272.0,273.0,291.0,319.0,331.0,332.0,324.0,318.0,298.0,278.0,274.0,270.0,276.0,284.0,307.0,327.0,345.0,380.0,416.0,444.0
396,2005-04-22 00:14:00,Appingedam,53.334,6.858,3.0,0.8,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
409,2005-10-12 16:06:00,Smilde,52.963,6.45,3.0,2.5,,,,,Smilde,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2006-01-20 20:22:00,Loppersum,53.336,6.74,3.0,1.3,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
429,2006-04-05 01:41:00,Delfzijl,53.344,6.89,3.0,1.4,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
435,2006-04-22 03:41:00,Loppersum,53.325,6.752,3.0,1.5,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
437,2006-04-23 01:18:00,Delfzijl,53.338,6.883,3.0,0.9,1.0,,,,Delfzijl,47.0,47.0,48.0,49.0,77.0,77.0,78.0,78.0,116.0,118.0,133.0,144.0,148.0,148.0,145.0,142.0,138.0,131.0,124.0,121.0,121.0,126.0,131.0,138.0,,,,
447,2006-06-17 13:16:00,Appingedam,53.33,6.852,3.0,1.4,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
451,2006-07-12 22:56:00,Appingedam,53.309,6.868,3.0,1.3,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
452,2006-07-16 08:10:00,Appingedam,53.303,6.867,3.0,1.5,1.0,,,,Appingedam,52.0,52.0,52.0,53.0,74.0,74.0,76.0,77.0,117.0,118.0,137.0,145.0,150.0,152.0,156.0,154.0,149.0,142.0,134.0,131.0,133.0,138.0,143.0,155.0,,,,
460,2006-10-15 20:18:00,Emmen,52.767,6.885,3.0,1.6,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
